"","Contig","total_PA"
"721","virus_comp_15993_cycle_1",3
"722","virus_comp_1602_cycle_1",3
"723","virus_comp_1603_cycle_1",3
"724","virus_comp_16138_cycle_1",3
"725","virus_comp_1616_cycle_1",3
"726","virus_comp_1617_cycle_1",3
"727","virus_comp_16185_cycle_1",3
"728","virus_comp_16210_cycle_1",3
"729","virus_comp_16241_cycle_1",3
"730","virus_comp_16260_cycle_1",3
"731","virus_comp_16268_cycle_1",3
"732","virus_comp_16276_cycle_1",3
"733","virus_comp_16324_cycle_1",3
"734","virus_comp_16439_cycle_1",3
"735","virus_comp_16476_cycle_1",3
"736","virus_comp_16491_cycle_1",3
"737","virus_comp_16504_cycle_1",3
"738","virus_comp_16547_cycle_1",3
"739","virus_comp_16553_cycle_1",3
"740","virus_comp_1656_cycle_1",3
"741","virus_comp_16569_cycle_1",3
"742","virus_comp_16579_cycle_1",3
"743","virus_comp_16591_cycle_1",3
"744","virus_comp_16603_cycle_1",3
"745","virus_comp_1662_cycle_1",3
"746","virus_comp_16625_cycle_1",3
"747","virus_comp_16761_cycle_1",3
"748","virus_comp_16765_cycle_1",3
"749","virus_comp_1677_cycle_1",3
"750","virus_comp_1682_cycle_1",3
"751","virus_comp_16846_cycle_1",3
"752","virus_comp_16910_cycle_1",3
"753","virus_comp_170_cycle_1",3
"754","virus_comp_17039_cycle_1",3
"755","virus_comp_17065_cycle_1",3
"756","virus_comp_17081_cycle_1",3
"757","virus_comp_17087_cycle_1",3
"758","virus_comp_17088_cycle_1",3
"759","virus_comp_17094_cycle_1",3
"760","virus_comp_17099_cycle_1",3
"761","virus_comp_17108_cycle_1",3
"762","virus_comp_1711_cycle_1",3
