,logFC,AveExpr,t,P.Value,adj.P.Val,B
virus_comp_4_cycle_1_4,0.0906442559173022,0.201835849827931,5.99452001268777,6.72115517506231e-08,7.72735164097605e-06,7.97115156110782
edge_1476_19,0.072116356704446,0.262114549756406,5.777245372437,6.23604644089107e-08,7.38688046589188e-06,7.97038402389481
edge_1468_49,0.087971445274883,0.35936254759041,5.76086133010459,7.51109312764167e-08,8.38881801027179e-06,7.80348197319505
virus_comp_2239_cycle_1_5,0.0851030524941027,0.697003517919724,6.07406264291121,8.50087221007152e-08,8.98105661328907e-06,7.78756635887394
virus_comp_17813_cycle_1_1,0.125604972554323,0.321263846558894,5.97542994259533,8.7888479957294e-08,9.0409491619227e-06,7.73005834177349
edge_1468_15,0.0655830178985385,0.211299571764595,5.70639617835526,8.40754065333476e-08,8.98105661328907e-06,7.68466680989088
virus_comp_18128_cycle_1_9,0.0870335512065722,0.215376473547285,5.79333587995257,9.20442079974954e-08,9.14818844932581e-06,7.63347326102506
virus_comp_17906_cycle_1_1,0.0960098778823092,0.22512517878532,6.15414671345135,1.05411039908176e-07,1.00500428049039e-05,7.61873490933696
virus_comp_18020_cycle_1_18,0.0978804133430917,0.237984824651618,5.7391160780182,9.36115471918732e-08,9.14818844932581e-06,7.60076436099731
virus_comp_2273_cycle_1_7,0.0725338546433616,0.359454948322607,5.96977199624225,1.11003116729121e-07,1.03312186498603e-05,7.5236022876957
virus_comp_2103_cycle_1_5,0.126419399449746,0.483216171496519,7.45760756957134,1.55603941174276e-07,1.26781308013969e-05,7.48191232687631
virus_comp_2283_cycle_1_4,0.0921805264252194,0.356120082083357,6.1356792645533,1.3830161166141e-07,1.22868409087376e-05,7.37298917692887
virus_comp_609_cycle_1_4,0.111766453947179,0.356501418438178,6.79718131106193,1.64473818188134e-07,1.26781308013969e-05,7.36307511988932
virus_comp_18230_cycle_1_6,0.0651249121320057,0.179418122289077,5.6461658762897,1.34831044467837e-07,1.2257082623832e-05,7.2507827057102
edge_1476_4,0.108316426778326,0.424482592928718,5.8482224480711,1.46937149300143e-07,1.26781308013969e-05,7.24310278179729
virus_comp_1430_cycle_1_14,0.0802631385048939,0.201780254435004,5.70468754651177,1.55407085576299e-07,1.26781308013969e-05,7.14461382630975
