"orf_id","effect","component","group","term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"edge_1468_44","fixed","cond",NA,"onset_timeline_combinedt0-over42",-18.1597192354037,NA,NA,NA,NA,NA
"edge_1468_44","fixed","cond",NA,"SexMale",0.363851499348516,NA,NA,NA,NA,NA
"edge_1468_44","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",0.0246810259386436,NA,NA,NA,NA,NA
"edge_1468_44","fixed","cond",NA,"HLA.CategoryHigh Risk",-0.200430878979394,NA,NA,NA,NA,NA
"edge_1468_44","fixed","cond",NA,"HLA.CategoryLow/No Risk",-73.7014992524664,NA,NA,NA,NA,NA
"edge_1468_44","fixed","cond",NA,"feeding_first_yearFormula",-0.870642836951289,NA,NA,NA,NA,NA
"edge_1468_44","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",-0.778266229371409,NA,NA,NA,NA,NA
"edge_1468_44","fixed","cond",NA,"Delivery.ModeC-Section",-0.736929768909981,NA,NA,NA,NA,NA
"edge_1468_44","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-6",-1.78279393816839,NA,NA,NA,NA,NA
"edge_1468_44","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-12",-39.3158719896212,NA,NA,NA,NA,NA
"edge_1468_44","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-18",-95.0920735650365,NA,NA,NA,NA,NA
"edge_1468_44","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-24",-88.5945454341402,NA,NA,NA,NA,NA
"edge_1468_44","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-30",-5.70346295579183,NA,NA,NA,NA,NA
"edge_1468_44","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-36",-38.4702142377637,NA,NA,NA,NA,NA
"edge_1468_44","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-over42",-6.61828322515306,NA,NA,NA,NA,NA
"edge_1468_44","ran_pars","cond","patientID","sd__(Intercept)",1.13592715461407e-14,NA,NA,NA,NA,NA
"edge_1468_49","fixed","cond",NA,"(Intercept)",-3.57854433739862,NA,NA,NA,NA,NA
"edge_1468_49","fixed","cond",NA,"Dx.StatusCELIAC",-19.2399508895423,NA,NA,NA,NA,NA
"edge_1468_49","fixed","cond",NA,"onset_timeline_combinedt0-6",-29.4676015464458,NA,NA,NA,NA,NA
"edge_1468_49","fixed","cond",NA,"onset_timeline_combinedt0-12",0.366779194935594,NA,NA,NA,NA,NA
"edge_1468_49","fixed","cond",NA,"onset_timeline_combinedt0-18",1.79771235650233,NA,NA,NA,NA,NA
"edge_1468_49","fixed","cond",NA,"onset_timeline_combinedt0-24",-36.6728663722837,NA,NA,NA,NA,NA
"edge_1468_49","fixed","cond",NA,"onset_timeline_combinedt0-30",1.58458317712145,NA,NA,NA,NA,NA
"edge_1468_49","fixed","cond",NA,"onset_timeline_combinedt0-36",0.520817795268055,NA,NA,NA,NA,NA
"edge_1468_49","fixed","cond",NA,"onset_timeline_combinedt0-over42",-20.7112178705501,NA,NA,NA,NA,NA
"edge_1468_49","fixed","cond",NA,"SexMale",0.00200998601231244,NA,NA,NA,NA,NA
"edge_1468_49","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",-0.028974814969037,NA,NA,NA,NA,NA
"edge_1468_49","fixed","cond",NA,"HLA.CategoryHigh Risk",0.530565138196512,NA,NA,NA,NA,NA
"edge_1468_49","fixed","cond",NA,"HLA.CategoryLow/No Risk",1.74454073217551,NA,NA,NA,NA,NA
"edge_1468_49","fixed","cond",NA,"feeding_first_yearFormula",-0.77709667699141,NA,NA,NA,NA,NA
"edge_1468_49","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",-0.672705425943993,NA,NA,NA,NA,NA
"edge_1468_49","fixed","cond",NA,"Delivery.ModeC-Section",-25.0501926813467,NA,NA,NA,NA,NA
"edge_1468_49","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-6",0.180077004220279,NA,NA,NA,NA,NA
"edge_1468_49","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-12",19.213865455546,NA,NA,NA,NA,NA
"edge_1468_49","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-18",-20.528266982646,NA,NA,NA,NA,NA
"edge_1468_49","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-24",56.4198767070094,NA,NA,NA,NA,NA
"edge_1468_49","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-30",-20.5509367575921,NA,NA,NA,NA,NA
"edge_1468_49","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-36",19.1576248103935,NA,NA,NA,NA,NA
"edge_1468_49","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-over42",-0.406832346949052,NA,NA,NA,NA,NA
"edge_1468_49","ran_pars","cond","patientID","sd__(Intercept)",1.18505788372536,NA,NA,NA,NA,NA
"edge_1468_50","fixed","cond",NA,"(Intercept)",-2.61433119537126,NA,NA,NA,NA,NA
"edge_1468_50","fixed","cond",NA,"Dx.StatusCELIAC",-18.9878089543431,NA,NA,NA,NA,NA
"edge_1468_50","fixed","cond",NA,"onset_timeline_combinedt0-6",-20.7671772930244,NA,NA,NA,NA,NA
"edge_1468_50","fixed","cond",NA,"onset_timeline_combinedt0-12",1.07954802394964,NA,NA,NA,NA,NA
"edge_1468_50","fixed","cond",NA,"onset_timeline_combinedt0-18",-34.9274571269565,NA,NA,NA,NA,NA
"edge_1468_50","fixed","cond",NA,"onset_timeline_combinedt0-24",-30.9006415307243,NA,NA,NA,NA,NA
"edge_1468_50","fixed","cond",NA,"onset_timeline_combinedt0-30",1.64555218046824,NA,NA,NA,NA,NA
"edge_1468_50","fixed","cond",NA,"onset_timeline_combinedt0-36",0.6178252395144,NA,NA,NA,NA,NA
"edge_1468_50","fixed","cond",NA,"onset_timeline_combinedt0-over42",0.739866078121692,NA,NA,NA,NA,NA
"edge_1468_50","fixed","cond",NA,"SexMale",-0.331278200212837,NA,NA,NA,NA,NA
"edge_1468_50","fixed","cond",NA,"Age.at.Gluten.Introduction..months.",-0.00318327478913824,NA,NA,NA,NA,NA
"edge_1468_50","fixed","cond",NA,"HLA.CategoryHigh Risk",-1.56666534166001,NA,NA,NA,NA,NA
"edge_1468_50","fixed","cond",NA,"HLA.CategoryLow/No Risk",-0.233059810534422,NA,NA,NA,NA,NA
"edge_1468_50","fixed","cond",NA,"feeding_first_yearFormula",-0.146540537057439,NA,NA,NA,NA,NA
"edge_1468_50","fixed","cond",NA,"feeding_first_yearBreastmilk_and_formula",-1.07112035594621,NA,NA,NA,NA,NA
"edge_1468_50","fixed","cond",NA,"Delivery.ModeC-Section",-26.9598203697536,NA,NA,NA,NA,NA
"edge_1468_50","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-6",0.116441175707293,NA,NA,NA,NA,NA
"edge_1468_50","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-12",-16.8738069890573,NA,NA,NA,NA,NA
"edge_1468_50","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-18",55.1302310352882,NA,NA,NA,NA,NA
"edge_1468_50","fixed","cond",NA,"Dx.StatusCELIAC:onset_timeline_combinedt0-24",50.9325147507103,NA,NA,NA,NA,NA
